Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_num_essential	Achilles_num_cell_lines	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	26121	PRPF31		796	796	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	25852	ARMC8	0.00682437374172727	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	9749	PHACTR2	0.0254790551482016	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3617	IMPG1	0.00229028407194359	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4741	NEFM	0.0194343310828258	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	53635	PTOV1	0.155219189237547	27	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	79953	SYNDIG1	0.000799307518961072	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10000	AKT3	0.00640017648205829	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	55103	RALGPS2	0.0131077118831125	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2760	GM2A	0.0168718083538524	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	55631	LRRC40	0.00385289592645024	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84447	SYVN1	0.333936813646874	211	808	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	84255	SLC37A3	0.0239797696458032	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
