83. 	 ΔG = -5.3 	 ΔH = -41.6 	 ΔS = -117.0 	 Tm = 18.5°C 	 Image: PNG PDF 	 Thermodynamic details
84. 	 ΔG = -4.0 	 ΔH = -45.1 	 ΔS = -132.5 	 Tm = 12.0°C 	 Image: PNG PDF 	 Thermodynamic details
85. 	 ΔG = -4.1 	 ΔH = -30.2 	 ΔS = -84.3 	 Tm = 1.6°C 	 Image: PNG PDF 	 Thermodynamic details
86. 	 ΔG = -7.0 	 ΔH = -49.6 	 ΔS = -137.3 	 Tm = 36.5°C 	 Image: PNG PDF 	 Thermodynamic details
87. 	 ΔG = -8.2 	 ΔH = -88.5 	 ΔS = -258.9 	 Tm = 37.9°C 	 Image: PNG PDF 	 Thermodynamic details
88. 	 ΔG = -5.1 	 ΔH = -57.7 	 ΔS = -169.7 	 Tm = 22.2°C 	 Image: PNG PDF 	 Thermodynamic details
89. 	 ΔG = -5.3 	 ΔH = -41.6 	 ΔS = -117.0 	 Tm = 18.5°C 	 Image: PNG PDF 	 Thermodynamic details
90. 	 ΔG = -8.2 	 ΔH = -88.5 	 ΔS = -258.9 	 Tm = 37.9°C 	 Image: PNG PDF 	 Thermodynamic details
91. 	 ΔG = -4.2 	 ΔH = -44.4 	 ΔS = -129.7 	 Tm = 17.8°C 	 Image: PNG PDF 	 Thermodynamic details
92. 	 ΔG = -21.8 	 ΔH = -129.7 	 ΔS = -347.9 	 Tm = 74.1°C 	 Image: PNG PDF 	 Thermodynamic details
93. 	 ΔG = -4.0 	 ΔH = -45.1 	 ΔS = -132.5 	 Tm = 12.0°C 	 Image: PNG PDF 	 Thermodynamic details
94. 	 ΔG = -5.1 	 ΔH = -57.7 	 ΔS = -169.7 	 Tm = 22.2°C 	 Image: PNG PDF 	 Thermodynamic details
95. 	 ΔG = -21.8 	 ΔH = -129.7 	 ΔS = -347.9 	 Tm = 74.1°C 	 Image: PNG PDF 	 Thermodynamic details
96. 	 ΔG = -4.5 	 ΔH = -36.4 	 ΔS = -102.7 	 Tm = 16.7°C 	 Image: PNG PDF 	 Thermodynamic details
97. 	 ΔG = -3.1 	 ΔH = -26.3 	 ΔS = -74.7 	 Tm = -3.7°C 	 Image: PNG PDF 	 Thermodynamic details
98. 	 ΔG = -2.8 	 ΔH = -29.5 	 ΔS = -86.1 	 Tm = -9.2°C 	 Image: PNG PDF 	 Thermodynamic details
99. 	 ΔG = -3.8 	 ΔH = -36.0 	 ΔS = -103.7 	 Tm = 5.2°C 	 Image: PNG PDF 	 Thermodynamic details
100. 	 ΔG = -5.5 	 ΔH = -62.3 	 ΔS = -183.2 	 Tm = 25.2°C 	 Image: PNG PDF 	 Thermodynamic details
101. 	 ΔG = -2.8 	 ΔH = -29.5 	 ΔS = -86.1 	 Tm = -9.2°C 	 Image: PNG PDF 	 Thermodynamic details
102. 	 ΔG = -11.3 	 ΔH = -73.6 	 ΔS = -201.0 	 Tm = 55.6°C 	 Image: PNG PDF 	 Thermodynamic details
103. 	 ΔG = -5.1 	 ΔH = -49.4 	 ΔS = -142.8 	 Tm = 20.1°C 	 Image: PNG PDF 	 Thermodynamic details
104. 	 ΔG = -6.3 	 ΔH = -66.4 	 ΔS = -193.9 	 Tm = 29.3°C 	 Image: PNG PDF 	 Thermodynamic details
105. 	 ΔG = -3.8 	 ΔH = -36.0 	 ΔS = -103.7 	 Tm = 5.2°C 	 Image: PNG PDF 	 Thermodynamic details
106. 	 ΔG = -5.1 	 ΔH = -49.4 	 ΔS = -142.8 	 Tm = 20.1°C 	 Image: PNG PDF 	 Thermodynamic details
107. 	 ΔG = -6.1 	 ΔH = -45.0 	 ΔS = -125.4 	 Tm = 30.3°C 	 Image: PNG PDF 	 Thermodynamic details
108. 	 ΔG = -14.3 	 ΔH = -94.2 	 ΔS = -257.7 	 Tm = 59.3°C 	 Image: PNG PDF 	 Thermodynamic details
109. 	 ΔG = -5.5 	 ΔH = -62.3 	 ΔS = -183.2 	 Tm = 25.2°C 	 Image: PNG PDF 	 Thermodynamic details
110. 	 ΔG = -6.3 	 ΔH = -66.4 	 ΔS = -193.9 	 Tm = 29.3°C 	 Image: PNG PDF 	 Thermodynamic details
111. 	 ΔG = -14.3 	 ΔH = -94.2 	 ΔS = -257.7 	 Tm = 59.3°C 	 Image: PNG PDF 	 Thermodynamic details
112. 	 ΔG = -2.7 	 ΔH = -31.2 	 ΔS = -91.8 	 Tm = -1.2°C 	 Image: PNG PDF 	 Thermodynamic details
113. 	 ΔG = -2.8 	 ΔH = -35.4 	 ΔS = -105.1 	 Tm = 3.5°C 	 Image: PNG PDF 	 Thermodynamic details
114. 	 ΔG = -3.1 	 ΔH = -35.1 	 ΔS = -103.3 	 Tm = -0.9°C 	 Image: PNG PDF 	 Thermodynamic details
115. 	 ΔG = -7.1 	 ΔH = -52.5 	 ΔS = -146.3 	 Tm = 32.3°C 	 Image: PNG PDF 	 Thermodynamic details
116. 	 ΔG = -3.7 	 ΔH = -32.6 	 ΔS = -93.3 	 Tm = 0.9°C 	 Image: PNG PDF 	 Thermodynamic details
117. 	 ΔG = -3.1 	 ΔH = -35.1 	 ΔS = -103.3 	 Tm = -0.9°C 	 Image: PNG PDF 	 Thermodynamic details
118. 	 ΔG = -5.4 	 ΔH = -57.2 	 ΔS = -166.9 	 Tm = 28.2°C 	 Image: PNG PDF 	 Thermodynamic details
119. 	 ΔG = -5.6 	 ΔH = -45.2 	 ΔS = -127.6 	 Tm = 21.8°C 	 Image: PNG PDF 	 Thermodynamic details
120. 	 ΔG = -5.2 	 ΔH = -28.5 	 ΔS = -75.1 	 Tm = 9.8°C 	 Image: PNG PDF 	 Thermodynamic details
121. 	 ΔG = -7.1 	 ΔH = -52.5 	 ΔS = -146.3 	 Tm = 32.3°C 	 Image: PNG PDF 	 Thermodynamic details
122. 	 ΔG = -5.6 	 ΔH = -45.2 	 ΔS = -127.6 	 Tm = 21.8°C 	 Image: PNG PDF 	 Thermodynamic details
123. 	 ΔG = -3.5 	 ΔH = -43.0 	 ΔS = -127.3 	 Tm = 13.3°C 	 Image: PNG PDF 	 Thermodynamic details
124. 	 ΔG = -4.4 	 ΔH = -32.1 	 ΔS = -89.2 	 Tm = 6.3°C 	 Image: PNG PDF 	 Thermodynamic details
125. 	 ΔG = -3.7 	 ΔH = -32.6 	 ΔS = -93.3 	 Tm = 0.9°C 	 Image: PNG PDF 	 Thermodynamic details
126. 	 ΔG = -5.2 	 ΔH = -28.5 	 ΔS = -75.1 	 Tm = 9.8°C 	 Image: PNG PDF 	 Thermodynamic details
127. 	 ΔG = -4.4 	 ΔH = -32.1 	 ΔS = -89.2 	 Tm = 6.3°C 	 Image: PNG PDF 	 Thermodynamic details
128. 	 ΔG = -1.6 	 ΔH = -22.2 	 ΔS = -66.3 	 Tm = -24.2°C 	 Image: PNG PDF 	 Thermodynamic details
