96. 	 ΔG = -4.3 	 ΔH = -37.2 	 ΔS = -105.9 	 Tm = 9.6°C 	 Image: PNG PDF 	 Thermodynamic details
97. 	 ΔG = -3.6 	 ΔH = -24.3 	 ΔS = -66.6 	 Tm = -9.7°C 	 Image: PNG PDF 	 Thermodynamic details
98. 	 ΔG = -2.1 	 ΔH = -25.9 	 ΔS = -76.7 	 Tm = -20.1°C 	 Image: PNG PDF 	 Thermodynamic details
99. 	 ΔG = -2.6 	 ΔH = -22.3 	 ΔS = -63.6 	 Tm = -23.4°C 	 Image: PNG PDF 	 Thermodynamic details
100. 	 ΔG = -4.9 	 ΔH = -26.5 	 ΔS = -69.7 	 Tm = 4.7°C 	 Image: PNG PDF 	 Thermodynamic details
101. 	 ΔG = -5.2 	 ΔH = -62.2 	 ΔS = -183.9 	 Tm = 27.7°C 	 Image: PNG PDF 	 Thermodynamic details
102. 	 ΔG = -2.1 	 ΔH = -25.3 	 ΔS = -74.9 	 Tm = -21.4°C 	 Image: PNG PDF 	 Thermodynamic details
103. 	 ΔG = -1.8 	 ΔH = -12.0 	 ΔS = -33.0 	 Tm = -68.5°C 	 Image: PNG PDF 	 Thermodynamic details
104. 	 ΔG = -3.2 	 ΔH = -25.5 	 ΔS = -71.9 	 Tm = -11.8°C 	 Image: PNG PDF 	 Thermodynamic details
105. 	 ΔG = -2.4 	 ΔH = -66.3 	 ΔS = -205.9 	 Tm = 16.7°C 	 Image: PNG PDF 	 Thermodynamic details
106. 	 ΔG = -7.2 	 ΔH = -52.9 	 ΔS = -147.4 	 Tm = 32.5°C 	 Image: PNG PDF 	 Thermodynamic details
107. 	 ΔG = -6.8 	 ΔH = -72.1 	 ΔS = -210.4 	 Tm = 32.3°C 	 Image: PNG PDF 	 Thermodynamic details
108. 	 ΔG = -4.2 	 ΔH = -36.3 	 ΔS = -103.6 	 Tm = 7.8°C 	 Image: PNG PDF 	 Thermodynamic details
109. 	 ΔG = -7.2 	 ΔH = -59.5 	 ΔS = -168.8 	 Tm = 32.9°C 	 Image: PNG PDF 	 Thermodynamic details
110. 	 ΔG = -4.3 	 ΔH = -42.1 	 ΔS = -122.0 	 Tm = 12.1°C 	 Image: PNG PDF 	 Thermodynamic details
111. 	 ΔG = -3.4 	 ΔH = -42.2 	 ΔS = -125.2 	 Tm = 6.6°C 	 Image: PNG PDF 	 Thermodynamic details
112. 	 ΔG = -7.2 	 ΔH = -52.9 	 ΔS = -147.4 	 Tm = 32.5°C 	 Image: PNG PDF 	 Thermodynamic details
113. 	 ΔG = -2.7 	 ΔH = -28.8 	 ΔS = -84.3 	 Tm = -4.5°C 	 Image: PNG PDF 	 Thermodynamic details
114. 	 ΔG = -5.3 	 ΔH = -41.0 	 ΔS = -114.9 	 Tm = 18.5°C 	 Image: PNG PDF 	 Thermodynamic details
115. 	 ΔG = -4.8 	 ΔH = -74.1 	 ΔS = -223.4 	 Tm = 24.4°C 	 Image: PNG PDF 	 Thermodynamic details
116. 	 ΔG = -7.8 	 ΔH = -60.0 	 ΔS = -168.2 	 Tm = 36.4°C 	 Image: PNG PDF 	 Thermodynamic details
117. 	 ΔG = -5.5 	 ΔH = -45.1 	 ΔS = -127.6 	 Tm = 21.3°C 	 Image: PNG PDF 	 Thermodynamic details
118. 	 ΔG = -4.1 	 ΔH = -31.0 	 ΔS = -86.8 	 Tm = 2.7°C 	 Image: PNG PDF 	 Thermodynamic details
119. 	 ΔG = -6.8 	 ΔH = -72.1 	 ΔS = -210.4 	 Tm = 32.3°C 	 Image: PNG PDF 	 Thermodynamic details
120. 	 ΔG = -5.3 	 ΔH = -41.0 	 ΔS = -114.9 	 Tm = 18.5°C 	 Image: PNG PDF 	 Thermodynamic details
121. 	 ΔG = -2.3 	 ΔH = -34.0 	 ΔS = -102.3 	 Tm = -1.5°C 	 Image: PNG PDF 	 Thermodynamic details
122. 	 ΔG = -6.0 	 ΔH = -57.0 	 ΔS = -164.4 	 Tm = 26.8°C 	 Image: PNG PDF 	 Thermodynamic details
123. 	 ΔG = -3.9 	 ΔH = -29.5 	 ΔS = -82.7 	 Tm = -0.8°C 	 Image: PNG PDF 	 Thermodynamic details
124. 	 ΔG = -5.3 	 ΔH = -42.4 	 ΔS = -119.7 	 Tm = 18.6°C 	 Image: PNG PDF 	 Thermodynamic details
125. 	 ΔG = -2.5 	 ΔH = -28.3 	 ΔS = -83.1 	 Tm = -12.9°C 	 Image: PNG PDF 	 Thermodynamic details
126. 	 ΔG = -4.2 	 ΔH = -36.3 	 ΔS = -103.6 	 Tm = 7.8°C 	 Image: PNG PDF 	 Thermodynamic details
127. 	 ΔG = -4.8 	 ΔH = -74.1 	 ΔS = -223.4 	 Tm = 24.4°C 	 Image: PNG PDF 	 Thermodynamic details
128. 	 ΔG = -6.0 	 ΔH = -57.0 	 ΔS = -164.4 	 Tm = 26.8°C 	 Image: PNG PDF 	 Thermodynamic details
129. 	 ΔG = -11.4 	 ΔH = -71.7 	 ΔS = -194.6 	 Tm = 56.6°C 	 Image: PNG PDF 	 Thermodynamic details
130. 	 ΔG = -3.3 	 ΔH = -32.1 	 ΔS = -92.9 	 Tm = -2.4°C 	 Image: PNG PDF 	 Thermodynamic details
131. 	 ΔG = -3.6 	 ΔH = -35.4 	 ΔS = -102.6 	 Tm = 3.0°C 	 Image: PNG PDF 	 Thermodynamic details
132. 	 ΔG = -2.6 	 ΔH = -23.1 	 ΔS = -66.2 	 Tm = -21.7°C 	 Image: PNG PDF 	 Thermodynamic details
133. 	 ΔG = -3.5 	 ΔH = -82.0 	 ΔS = -253.2 	 Tm = 23.9°C 	 Image: PNG PDF 	 Thermodynamic details
134. 	 ΔG = -2.2 	 ΔH = -38.3 	 ΔS = -116.4 	 Tm = -3.5°C 	 Image: PNG PDF 	 Thermodynamic details
135. 	 ΔG = -3.2 	 ΔH = -50.0 	 ΔS = -150.9 	 Tm = 10.0°C 	 Image: PNG PDF 	 Thermodynamic details
