Sample	sg1_cr1	sg1_cr1:sg2_cr2	sg1_cr1:sg2_cr2:sg3_cr3	sg1_cr1:sg2_cr2:sg3_cr3:sg4_cr4	sg1_cr1:sg2_cr2:sg4_cr4	sg1_cr1:sg3_cr3	sg1_cr1:sg3_cr3:sg4_cr4	sg1_cr1:sg4_cr4	sg2_cr2	sg2_cr2:sg3_cr3	sg2_cr2:sg3_cr3:sg4_cr4	sg2_cr2:sg4_cr4	sg3_cr3	sg3_cr3:sg4_cr4	sg4_cr4
lima.15_20	8	0	1	149	6	1	7	0	0	1	6	1	0	1	0
lima.15_21	3	56	1	77	2	1	0	0	5	0	2	0	0	0	0
lima.15_22	10	0	42	148	1	0	1	0	0	2	3	0	0	1	0
lima.15_23	5	0	7	173	2	1	4	0	0	0	2	0	0	1	0
lima.15_24	10	0	1	163	2	1	16	1	0	1	16	1	0	0	0
lima.15_25	3	1	7	165	3	2	4	0	0	0	6	0	0	0	0
lima.15_26	65	1	7	161	1	1	4	0	0	0	1	0	0	0	0
lima.15_27	9	0	5	192	5	1	37	0	0	0	6	0	0	3	0
lima.15_28	2	0	1	140	1	0	4	1	0	0	2	0	0	1	0
lima.15_29	300	1	1	61	1	0	0	0	0	0	1	0	0	2	0
lima.15_30	4	0	9	169	2	1	1	0	0	0	6	0	0	0	0
lima.15_31	7	0	2	177	6	0	5	1	0	0	8	1	0	0	0
lima.15_32	15	0	8	230	5	0	5	0	0	1	6	0	0	1	0
lima.15_33	261	0	23	52	4	0	1	0	0	0	2	0	0	1	0
lima.15_34	2	0	2	125	3	0	3	0	0	0	2	0	0	0	0
lima.15_35	32	3	0	33	33	0	3	0	0	0	3	0	0	0	0
lima.15_36	3	1	2	115	3	0	7	0	0	2	3	0	0	1	0
lima.15_37	0	0	8	155	6	1	7	0	0	0	2	0	0	0	0
lima.15_38	2	0	2	79	0	0	1	0	0	0	0	0	0	1	0
lima.15_39	3	1	9	192	2	1	3	0	0	0	6	0	0	0	0
