Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	56139	PCDHA10	0.0039439475417762	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	7745	ZKSCAN8	0.0168521624506983	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	80031	SEMA6D	0.0112532513040985	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	51191	HERC5	0.0371521714049166	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	146433	IL34	0.125956913215793	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	7224	TRPC5		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79085	SLC25A23	0.00903487200030716	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84153	RNASEH2C	0.470490386901109	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	92840	REEP6	0.0572347319901819	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57569	ARHGAP20	0.00543549023969881	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1036	CDO1		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6783	SULT1E1	0.0399578916180993	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	57488	ESYT2	0.0181311433700418	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	901	CCNG2	0.00106338802595702	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	727910	TLCD2	0.0321017092252195	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3426	CFI	0.0083890400421067	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	90522	YIF1B	0.044314491725358	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	135892	TRIM50	0.0819115273617197	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5082	PDCL	0.393941853684525	Non-essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	10559	SLC35A1	0.130577271818624	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	64407	RGS18	0.0127022872198563	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84502	JPH4	0.201276003607613	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4548	MTR	0.107313709798394	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	133688	UGT3A1	0.0145138060334804	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23318	TUT4	0.00896784367254182	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2555	GABRA2	0.00330055423010527	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11040	PIM2		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	55211	DPPA4	0.00667504407773871	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23062	GGA2	0.00763105258065695	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6281	S100A10	0.00257575961950849	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	56951	C5orf15	0.104434359935317	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
LSm genes	Yes	51690	LSM7	0.976890341380006	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	5055	SERPINB2	0.00327947778149543	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84190	METTL25	0.155125840886184	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	7364	UGT2B7	0.0166511498133622	Non-essential	N/A	N/A	N/A	N/A	Non-essential
